date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:11:41	462/462	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Aug%202022%2018:54:58%20GMT	https://websmirno.site/robots.txt		(from )
15:11:41	65758/65758	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20May%202022%2010:39:39%20GMT	https://websmirno.site/viktor/plumbio/	C:/My%20Web%20Sites/acc/websmirno.site/viktor/plumbio/index.html	(from )
15:11:42	3817/3817	---M--	200	added ('OK')	image/png	date:Mon,%2009%20Aug%202021%2012:13:57%20GMT	https://websmirno.site/viktor/plumbio/images/favicon.png	C:/My%20Web%20Sites/acc/websmirno.site/viktor/plumbio/images/favicon.png	(from https://websmirno.site/viktor/plumbio/)
15:11:44	179913/179913	---M--	200	added ('OK')	text/css	date:Fri,%2020%20May%202022%2010:39:48%20GMT	https://websmirno.site/viktor/plumbio/css/style.css	C:/My%20Web%20Sites/acc/websmirno.site/viktor/plumbio/css/style.css	(from https://websmirno.site/viktor/plumbio/)
15:11:45	65758/65758	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20May%202022%2010:39:39%20GMT	https://websmirno.site/viktor/plumbio/index.html	C:/My%20Web%20Sites/acc/websmirno.site/viktor/plumbio/index-2.html	(from https://websmirno.site/viktor/plumbio/)
15:11:46	44731/44731	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20May%202022%2010:39:36%20GMT	https://websmirno.site/viktor/plumbio/about.html	C:/My%20Web%20Sites/acc/websmirno.site/viktor/plumbio/about.html	(from https://websmirno.site/viktor/plumbio/)
15:11:46	30396/30396	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20May%202022%2010:39:46%20GMT	https://websmirno.site/viktor/plumbio/testimonials.html	C:/My%20Web%20Sites/acc/websmirno.site/viktor/plumbio/testimonials.html	(from https://websmirno.site/viktor/plumbio/)
15:11:47	38861/38861	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20May%202022%2010:39:42%20GMT	https://websmirno.site/viktor/plumbio/services.html	C:/My%20Web%20Sites/acc/websmirno.site/viktor/plumbio/services.html	(from https://websmirno.site/viktor/plumbio/)
15:11:47	28094/28094	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20May%202022%2010:39:41%20GMT	https://websmirno.site/viktor/plumbio/services-item01.html	C:/My%20Web%20Sites/acc/websmirno.site/viktor/plumbio/services-item01.html	(from https://websmirno.site/viktor/plumbio/)
15:11:47	29357/29357	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20May%202022%2010:39:42%20GMT	https://websmirno.site/viktor/plumbio/services-item03.html	C:/My%20Web%20Sites/acc/websmirno.site/viktor/plumbio/services-item03.html	(from https://websmirno.site/viktor/plumbio/)
15:11:48	28501/28501	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20May%202022%2010:39:41%20GMT	https://websmirno.site/viktor/plumbio/services-item02.html	C:/My%20Web%20Sites/acc/websmirno.site/viktor/plumbio/services-item02.html	(from https://websmirno.site/viktor/plumbio/)
15:11:48	30373/30373	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20May%202022%2010:39:40%20GMT	https://websmirno.site/viktor/plumbio/price.html	C:/My%20Web%20Sites/acc/websmirno.site/viktor/plumbio/price.html	(from https://websmirno.site/viktor/plumbio/)
